transaction_id,store_id,product_sku,quantity,unit_price,transaction_date,customer_id
T0072,STORE_03,SKU-JUICE-012,6,5.69,2026-04-19,C133
T0073,STORE_01,SKU-MILK-005,6,6.26,2026-04-22,C228
T0074,STORE_02,SKU-JUICE-002,9,1.63,2026-04-18,C239
T0075,STORE_03,SKU-BREAD-035,1,3.31,2026-04-14,C257
T0076,STORE_02,SKU-MILK-008,5,2.74,2026-04-30,C118
T0077,STORE_04,SKU-BREAD-008,8,9.02,2026-04-27,C278
T0078,STORE_05,SKU-JUICE-037,6,1.35,2026-04-24,C102
T0079,STORE_02,SKU-JUICE-046,3,2.47,2026-04-09,C167
T0080,STORE_05,SKU-APPLE-032,1,2.22,2026-04-08,C158
T0081,STORE_05,SKU-APPLE-035,10,4.18,2026-05-03,C230
T0082,STORE_02,SKU-JUICE-015,2,7.42,2026-04-22,C265
T0083,STORE_01,SKU-MILK-007,7,1.95,2026-04-21,C149
T0084,STORE_03,SKU-MILK-006,6,7.58,2026-04-06,C122
T0085,STORE_03,SKU-APPLE-026,3,4.57,2026-04-07,C137
T0086,STORE_05,SKU-BREAD-032,6,1.04,2026-04-15,C203
T0087,STORE_01,SKU-BREAD-034,4,4.86,2026-04-29,C223
T0088,STORE_05,SKU-APPLE-046,1,4.03,2026-04-25,C272
T0089,STORE_05,SKU-JUICE-014,10,9.19,2026-04-21,C243
T0090,STORE_03,SKU-MILK-015,6,6.3,2026-04-28,C279
T0091,STORE_04,SKU-MILK-023,3,4.66,2026-04-15,C102
T0092,STORE_05,SKU-JUICE-024,6,1.21,2026-04-09,C134
T0093,STORE_04,SKU-MILK-024,4,5.71,2026-04-14,C257
T0094,STORE_03,SKU-BREAD-023,1,2.89,2026-04-18,C270
T0095,STORE_04,SKU-JUICE-042,6,8.33,2026-05-01,C167
T0096,STORE_04,SKU-MILK-010,6,2.42,2026-04-15,C231
T0097,STORE_01,SKU-MILK-033,10,3.34,2026-04-07,C177
T0098,STORE_01,SKU-APPLE-047,8,7.96,2026-04-25,C292
T0099,STORE_05,SKU-JUICE-009,8,6.43,2026-04-25,C213
T0100,STORE_01,SKU-BREAD-050,9,5.26,2026-04-06,C263
T0101,STORE_01,SKU-APPLE-016,4,4.15,2026-04-20,C265
T0102,STORE_04,SKU-BREAD-016,4,7.63,2026-04-10,C171
T0103,STORE_04,SKU-JUICE-027,8,5.02,2026-04-28,C253
T0104,STORE_01,SKU-APPLE-002,1,5.12,2026-04-07,C203
T0105,STORE_04,SKU-JUICE-027,7,4.72,2026-04-23,C170
T0106,STORE_03,SKU-JUICE-048,8,5.35,2026-04-11,C213
T0107,STORE_03,SKU-BREAD-047,2,4.32,2026-04-15,C286
T0108,STORE_02,SKU-JUICE-013,4,7.63,2026-05-03,C225
T0109,STORE_05,SKU-JUICE-029,10,4.89,2026-04-13,C286
T0110,STORE_04,SKU-MILK-004,2,3.62,2026-04-22,C139
T0111,STORE_01,SKU-APPLE-050,4,3.79,2026-04-23,C244
T0112,STORE_05,SKU-BREAD-001,7,3.49,2026-04-19,C291
T0113,STORE_03,SKU-MILK-017,9,4.47,2026-04-15,C101
T0114,STORE_01,SKU-MILK-031,1,4.59,2026-04-30,C160
T0115,STORE_04,SKU-JUICE-032,3,9.14,2026-04-10,C152
T0116,STORE_05,SKU-APPLE-025,7,5.17,2026-04-18,C297
T0117,STORE_04,SKU-MILK-026,2,7.8,2026-04-27,C143
T0118,STORE_03,SKU-APPLE-023,8,4.0,2026-05-02,C198
T0119,STORE_04,SKU-BREAD-014,7,1.48,2026-04-29,C285
T0120,STORE_05,SKU-APPLE-047,3,8.07,2026-04-06,C107
T0121,STORE_01,SKU-JUICE-047,6,4.35,2026-04-18,C187
T0122,STORE_05,SKU-BREAD-037,7,2.98,2026-04-23,C174
T0123,STORE_03,SKU-APPLE-024,2,3.11,2026-04-25,C179
T0124,STORE_05,SKU-MILK-043,9,9.64,2026-04-24,C209
T0125,STORE_01,SKU-APPLE-015,8,9.45,2026-04-30,C119
T0126,STORE_02,SKU-BREAD-018,4,1.99,2026-04-23,C267
T0127,STORE_03,SKU-APPLE-038,1,5.09,2026-04-08,C214
T0128,STORE_05,SKU-APPLE-024,2,3.08,2026-04-26,C225
T0129,STORE_04,SKU-APPLE-008,5,6.13,2026-04-06,C194
T0130,STORE_05,SKU-BREAD-043,6,4.68,2026-05-05,C139
T0131,STORE_05,SKU-MILK-014,1,1.31,2026-04-21,C165
T0132,STORE_04,SKU-BREAD-029,5,1.84,2026-04-27,C203
T0133,STORE_05,SKU-BREAD-046,9,6.05,2026-04-28,C268
T0134,STORE_01,SKU-MILK-005,5,8.19,2026-04-10,C251
T0135,STORE_05,SKU-APPLE-010,1,1.03,2026-04-06,C109
T0136,STORE_02,SKU-MILK-001,3,7.16,2026-05-03,C242
T0137,STORE_02,SKU-APPLE-002,3,9.24,2026-04-06,C207
T0138,STORE_04,SKU-APPLE-046,5,6.13,2026-04-26,C197
T0139,STORE_05,SKU-APPLE-007,7,3.98,2026-04-24,C165
T0140,STORE_01,SKU-APPLE-022,9,2.85,2026-04-19,C102
T0141,STORE_05,SKU-JUICE-013,4,5.82,2026-04-07,C281
T0142,STORE_02,SKU-APPLE-034,8,4.55,2026-04-18,C255
T0143,STORE_05,SKU-JUICE-003,4,4.39,2026-04-16,C158
T0144,STORE_04,SKU-JUICE-045,8,9.04,2026-04-07,C185
T0145,STORE_02,SKU-MILK-030,7,7.01,2026-04-23,C103
T0146,STORE_03,SKU-MILK-045,8,7.55,2026-04-07,C241
T0147,STORE_04,SKU-MILK-020,2,7.48,2026-05-04,C255
T0148,STORE_03,SKU-JUICE-046,9,6.73,2026-04-23,C171
T0149,STORE_02,SKU-MILK-013,3,6.0,2026-04-18,C236
T0150,STORE_03,SKU-APPLE-004,7,5.18,2026-04-06,C119
T0151,STORE_05,SKU-MILK-012,2,8.56,2026-04-16,C294
T0152,STORE_02,SKU-APPLE-050,4,6.47,2026-04-20,C290
T0153,STORE_05,SKU-BREAD-017,3,2.14,2026-04-24,C230
T0154,STORE_03,SKU-MILK-017,6,4.4,2026-04-26,C142
T0155,STORE_02,SKU-BREAD-021,4,3.61,2026-04-28,C194
T0156,STORE_01,SKU-APPLE-026,4,4.15,2026-04-16,C200
T0157,STORE_01,SKU-MILK-009,2,1.82,2026-04-19,C275
T0158,STORE_03,SKU-JUICE-026,1,6.53,2026-04-19,C192
T0159,STORE_01,SKU-APPLE-007,2,4.95,2026-04-17,C196
T0160,STORE_01,SKU-APPLE-033,1,2.84,2026-04-22,C165
T0161,STORE_02,SKU-MILK-035,4,8.57,2026-04-18,C131
T0162,STORE_03,SKU-JUICE-015,3,3.84,2026-04-18,C254
T0163,STORE_02,SKU-JUICE-010,3,4.33,2026-05-01,C293
T0164,STORE_05,SKU-MILK-019,9,6.7,2026-04-29,C121
T0165,STORE_03,SKU-JUICE-037,9,6.47,2026-04-10,C253
T0166,STORE_02,SKU-MILK-025,3,4.03,2026-04-18,C291
T0167,STORE_01,SKU-JUICE-014,2,4.78,2026-04-10,C282
T0168,STORE_03,SKU-JUICE-035,2,1.52,2026-04-26,C147
T0169,STORE_01,SKU-JUICE-018,2,3.7,2026-04-07,C144
T0170,STORE_03,SKU-APPLE-050,6,6.06,2026-04-17,C136
T0171,STORE_01,SKU-MILK-031,5,3.37,2026-04-24,C119
T0172,STORE_04,SKU-MILK-025,5,7.85,2026-04-19,C263
T0173,STORE_03,SKU-MILK-050,4,1.48,2026-05-01,C143
T0174,STORE_05,SKU-BREAD-046,5,6.82,2026-05-01,C163
T0175,STORE_04,SKU-JUICE-030,8,7.27,2026-05-05,C180
T0176,STORE_02,SKU-MILK-049,8,7.05,2026-04-13,C120
T0177,STORE_04,SKU-APPLE-032,2,3.27,2026-04-26,C215
T0178,STORE_05,SKU-MILK-017,6,2.76,2026-04-09,C144
T0179,STORE_04,SKU-BREAD-042,3,5.06,2026-04-13,C215
T0180,STORE_03,SKU-JUICE-050,10,2.2,2026-04-10,C182
T0181,STORE_03,SKU-APPLE-042,10,2.13,2026-04-08,C203
T0182,STORE_05,SKU-JUICE-025,6,5.15,2026-04-15,C223
T0183,STORE_05,SKU-JUICE-028,9,3.52,2026-04-16,C156
T0184,STORE_03,SKU-MILK-026,5,5.98,2026-04-30,C108
T0185,STORE_01,SKU-APPLE-029,5,2.97,2026-05-02,C204
T0186,STORE_01,SKU-JUICE-004,6,7.04,2026-04-07,C214
T0187,STORE_01,SKU-JUICE-023,5,2.01,2026-04-28,C182
T0188,STORE_01,SKU-APPLE-014,5,4.08,2026-05-05,C196
T0189,STORE_01,SKU-MILK-012,8,9.85,2026-04-27,C258
T0190,STORE_02,SKU-JUICE-050,9,5.13,2026-04-27,C182
T0191,STORE_03,SKU-JUICE-019,9,6.53,2026-04-28,C151
T0192,STORE_02,SKU-APPLE-046,7,1.55,2026-05-02,C153
T0193,STORE_03,SKU-APPLE-032,8,8.46,2026-04-12,C267
T0194,STORE_03,SKU-BREAD-007,1,3.42,2026-05-02,C214
T0195,STORE_04,SKU-APPLE-009,6,4.09,2026-04-22,C224
T0196,STORE_04,SKU-MILK-008,4,8.57,2026-04-17,C201
T0197,STORE_04,SKU-JUICE-017,7,4.23,2026-04-13,C214
T0198,STORE_02,SKU-MILK-010,5,5.56,2026-04-25,C224
T0199,STORE_02,SKU-MILK-046,6,8.57,2026-04-07,C210
T0200,STORE_04,SKU-JUICE-048,2,6.87,2026-04-10,C224
T0201,STORE_01,SKU-JUICE-025,8,2.86,2026-04-17,C254
T0202,STORE_05,SKU-BREAD-031,10,5.07,2026-05-02,C142
T0203,STORE_01,SKU-BREAD-013,5,4.66,2026-04-06,C212
T0204,STORE_02,SKU-JUICE-016,5,4.03,2026-04-15,C107
T0205,STORE_01,SKU-MILK-049,5,4.4,2026-04-12,C246
T0206,STORE_03,SKU-MILK-023,6,1.85,2026-04-29,C263
T0207,STORE_03,SKU-MILK-025,3,3.07,2026-04-18,C127
T0208,STORE_01,SKU-MILK-048,6,1.73,2026-04-17,C243
T0209,STORE_03,SKU-JUICE-009,10,1.77,2026-04-22,C268
T0210,STORE_05,SKU-JUICE-013,5,1.85,2026-04-17,C238
T0211,STORE_01,SKU-MILK-006,7,5.06,2026-04-07,C118
T0212,STORE_05,SKU-JUICE-030,10,6.28,2026-04-23,C164
T0213,STORE_02,SKU-MILK-044,5,9.27,2026-04-20,C133
T0214,STORE_05,SKU-MILK-030,6,1.8,2026-04-20,C173
T0215,STORE_02,SKU-JUICE-044,4,8.97,2026-04-24,C213
T0216,STORE_04,SKU-BREAD-042,5,3.33,2026-04-30,C271
T0217,STORE_03,SKU-APPLE-031,9,1.11,2026-04-19,C115
T0218,STORE_05,SKU-MILK-031,9,2.6,2026-04-19,C252
T0219,STORE_05,SKU-BREAD-008,4,3.23,2026-05-02,C200
T0220,STORE_03,SKU-APPLE-043,9,9.77,2026-04-28,C214
T0221,STORE_01,SKU-BREAD-034,1,3.75,2026-04-18,C293
T0222,STORE_02,SKU-MILK-018,8,7.01,2026-04-08,C293
T0223,STORE_04,SKU-MILK-038,9,1.09,2026-04-25,C275
T0224,STORE_05,SKU-MILK-043,7,2.35,2026-05-05,C217
T0225,STORE_04,SKU-BREAD-021,2,8.13,2026-04-29,C173
T0226,STORE_02,SKU-JUICE-050,2,8.03,2026-04-27,C157
T0227,STORE_05,SKU-JUICE-017,8,6.59,2026-04-20,C132
T0228,STORE_05,SKU-APPLE-002,3,7.81,2026-05-02,C106
T0229,STORE_03,SKU-BREAD-050,5,5.5,2026-04-08,C211
T0230,STORE_03,SKU-MILK-019,10,6.0,2026-04-06,C119
T0231,STORE_04,SKU-APPLE-003,1,8.65,2026-04-22,C169
T0232,STORE_01,SKU-MILK-023,7,5.08,2026-04-18,C297
T0233,STORE_01,SKU-MILK-015,8,1.5,2026-05-04,C193
T0234,STORE_01,SKU-BREAD-015,2,6.39,2026-05-02,C222
T0235,STORE_01,SKU-BREAD-004,3,8.62,2026-04-15,C289
T0236,STORE_04,SKU-MILK-034,10,8.26,2026-04-26,C218
T0237,STORE_01,SKU-MILK-037,2,4.21,2026-04-16,C100
T0238,STORE_03,SKU-APPLE-015,3,9.25,2026-04-28,C296
T0239,STORE_03,SKU-BREAD-020,10,9.25,2026-04-18,C132
T0240,STORE_01,SKU-JUICE-046,8,4.49,2026-04-17,C151
T0241,STORE_02,SKU-BREAD-010,4,6.98,2026-04-09,C198
T0242,STORE_02,SKU-BREAD-029,3,6.79,2026-04-27,C191
T0243,STORE_02,SKU-JUICE-046,3,2.1,2026-04-17,C229
T0244,STORE_05,SKU-JUICE-007,6,4.09,2026-05-03,C191
T0245,STORE_04,SKU-MILK-018,2,7.51,2026-04-21,C147
T0246,STORE_05,SKU-APPLE-010,10,4.07,2026-04-26,C159
T0247,STORE_05,SKU-BREAD-037,6,7.56,2026-04-14,C216
T0248,STORE_03,SKU-APPLE-045,2,5.21,2026-04-13,C292
T0249,STORE_04,SKU-BREAD-044,2,8.42,2026-04-30,C117
T0250,STORE_02,SKU-APPLE-008,1,4.18,2026-04-22,C180
T0251,STORE_01,SKU-APPLE-035,9,9.49,2026-04-18,C122
T0252,STORE_05,SKU-BREAD-017,10,7.03,2026-04-16,C165
T0253,STORE_01,SKU-MILK-026,9,7.97,2026-04-24,C126
T0254,STORE_04,SKU-APPLE-001,8,2.55,2026-04-29,C268
T0255,STORE_01,SKU-MILK-011,10,1.58,2026-05-03,C236
T0256,STORE_05,SKU-APPLE-025,5,1.04,2026-04-14,C224
T0257,STORE_02,SKU-BREAD-006,8,7.87,2026-04-11,C232
T0258,STORE_03,SKU-BREAD-040,2,4.29,2026-05-04,C217
T0259,STORE_05,SKU-BREAD-046,3,5.3,2026-04-17,C156
T0260,STORE_03,SKU-MILK-049,8,2.57,2026-04-09,C283
T0261,STORE_03,SKU-BREAD-044,10,6.44,2026-04-22,C136
T0262,STORE_02,SKU-JUICE-046,9,7.53,2026-04-19,C279
T0263,STORE_05,SKU-BREAD-043,9,7.08,2026-04-25,C164
T0264,STORE_03,SKU-JUICE-031,5,1.56,2026-04-30,C128
T0265,STORE_03,SKU-JUICE-040,4,6.27,2026-05-04,C146
T0266,STORE_02,SKU-JUICE-019,7,9.61,2026-04-20,C170
T0267,STORE_02,SKU-JUICE-023,9,8.07,2026-04-11,C236
T0268,STORE_02,SKU-BREAD-015,3,3.56,2026-04-30,C185
T0269,STORE_05,SKU-APPLE-023,10,2.55,2026-04-06,C293
T0270,STORE_02,SKU-MILK-042,5,2.02,2026-05-01,C185
T0271,STORE_04,SKU-APPLE-034,3,8.31,2026-04-30,C219
T0272,STORE_04,SKU-MILK-044,8,3.98,2026-05-04,C193
T0273,STORE_04,SKU-APPLE-015,8,4.04,2026-05-04,C150
T0274,STORE_05,SKU-APPLE-036,3,9.65,2026-04-15,C178
T0275,STORE_03,SKU-JUICE-037,2,8.35,2026-04-14,C255
T0276,STORE_05,SKU-MILK-044,2,3.66,2026-04-13,C165
T0277,STORE_02,SKU-JUICE-033,9,7.49,2026-05-04,C241
T0278,STORE_05,SKU-APPLE-008,4,3.96,2026-04-16,C181
T0279,STORE_04,SKU-MILK-042,7,6.23,2026-04-17,C244
T0280,STORE_01,SKU-JUICE-013,10,6.98,2026-04-14,C251
T0281,STORE_02,SKU-MILK-021,5,8.75,2026-04-21,C198
T0282,STORE_05,SKU-APPLE-001,4,3.28,2026-05-04,C214
T0283,STORE_02,SKU-BREAD-009,5,1.13,2026-04-18,C100
T0284,STORE_01,SKU-MILK-001,9,6.53,2026-04-12,C195
T0285,STORE_02,SKU-MILK-045,4,4.85,2026-05-02,C101
T0286,STORE_02,SKU-APPLE-050,9,2.34,2026-05-03,C194
T0287,STORE_02,SKU-MILK-036,8,4.57,2026-04-30,C151
T0288,STORE_02,SKU-BREAD-026,3,6.15,2026-04-25,C263
T0289,STORE_02,SKU-BREAD-032,4,3.04,2026-04-25,C267
T0290,STORE_04,SKU-APPLE-045,2,9.08,2026-04-08,C206
T0291,STORE_03,SKU-JUICE-025,1,1.85,2026-04-13,C156
T0292,STORE_02,SKU-APPLE-008,5,9.49,2026-04-24,C286
T0293,STORE_02,SKU-APPLE-040,10,7.93,2026-04-19,C251
T0294,STORE_03,SKU-MILK-017,5,4.27,2026-04-24,C125
T0295,STORE_05,SKU-BREAD-022,1,8.33,2026-04-26,C270
T0296,STORE_01,SKU-BREAD-024,2,1.15,2026-04-13,C163
T0297,STORE_01,SKU-MILK-043,8,3.26,2026-04-11,C101
T0298,STORE_03,SKU-JUICE-005,6,4.23,2026-04-08,C230
T0299,STORE_03,SKU-APPLE-050,6,9.25,2026-04-08,C160
T0300,STORE_05,SKU-APPLE-007,2,4.09,2026-04-15,C112
T0301,STORE_05,SKU-MILK-037,9,1.76,2026-04-10,C167
T0302,STORE_02,SKU-MILK-035,6,5.55,2026-04-29,C118
T0303,STORE_01,SKU-JUICE-040,10,9.4,2026-04-30,C144
T0304,STORE_03,SKU-JUICE-008,2,9.34,2026-04-24,C300
T0305,STORE_05,SKU-BREAD-018,8,1.51,2026-04-29,C273
T0306,STORE_05,SKU-BREAD-037,3,9.64,2026-04-30,C275
T0307,STORE_01,SKU-BREAD-046,4,1.99,2026-04-15,C256
T0308,STORE_02,SKU-APPLE-035,6,4.29,2026-04-28,C142
T0309,STORE_04,SKU-BREAD-044,7,4.34,2026-04-22,C283
T0310,STORE_04,SKU-MILK-003,3,4.43,2026-04-11,C146
T0311,STORE_05,SKU-APPLE-003,9,1.77,2026-04-06,C192
T0312,STORE_03,SKU-APPLE-036,5,3.33,2026-04-14,C264
T0313,STORE_01,SKU-JUICE-002,10,2.16,2026-04-27,C213
T0314,STORE_05,SKU-APPLE-039,1,5.91,2026-04-28,C285
T0315,STORE_02,SKU-MILK-047,1,9.24,2026-04-21,C170
T0316,STORE_03,SKU-JUICE-031,3,4.18,2026-04-16,C284
T0317,STORE_05,SKU-MILK-015,5,9.94,2026-04-21,C257
T0318,STORE_05,SKU-JUICE-012,2,8.88,2026-05-01,C283
T0319,STORE_02,SKU-JUICE-026,3,1.62,2026-04-29,C256
T0320,STORE_05,SKU-MILK-032,3,9.67,2026-04-27,C275
T0321,STORE_05,SKU-JUICE-050,2,3.89,2026-04-13,C236
T0322,STORE_01,SKU-MILK-030,3,5.15,2026-04-22,C274
T0323,STORE_04,SKU-JUICE-002,1,3.08,2026-04-19,C254
T0324,STORE_04,SKU-JUICE-045,8,1.01,2026-04-10,C105
T0325,STORE_05,SKU-JUICE-023,7,8.88,2026-04-11,C198
T0326,STORE_04,SKU-MILK-040,3,3.96,2026-04-15,C245
T0327,STORE_02,SKU-BREAD-028,9,6.39,2026-04-14,C107
T0328,STORE_03,SKU-APPLE-003,2,9.77,2026-04-25,C107
T0329,STORE_01,SKU-MILK-027,4,8.46,2026-05-02,C285
T0330,STORE_05,SKU-MILK-044,1,5.29,2026-04-28,C159
T0331,STORE_04,SKU-JUICE-016,2,5.13,2026-04-14,C117
T0332,STORE_01,SKU-BREAD-046,2,3.73,2026-04-30,C230
T0333,STORE_02,SKU-APPLE-013,6,8.33,2026-05-04,C155
T0334,STORE_03,SKU-MILK-003,7,3.37,2026-04-27,C236
T0335,STORE_03,SKU-BREAD-045,2,9.67,2026-04-21,C111
T0336,STORE_03,SKU-JUICE-009,7,1.29,2026-04-17,C160
T0337,STORE_01,SKU-APPLE-034,8,8.26,2026-04-26,C186
T0338,STORE_01,SKU-BREAD-006,4,4.64,2026-04-08,C279
T0339,STORE_02,SKU-BREAD-014,1,9.0,2026-04-27,C104
T0340,STORE_02,SKU-JUICE-039,5,7.68,2026-05-05,C258
T0341,STORE_05,SKU-JUICE-027,6,4.45,2026-05-04,C219
T0342,STORE_05,SKU-BREAD-032,5,6.52,2026-04-06,C133
T0343,STORE_05,SKU-APPLE-015,5,3.54,2026-04-29,C300
T0344,STORE_05,SKU-BREAD-034,3,6.79,2026-04-06,C144
T0345,STORE_02,SKU-MILK-009,8,4.61,2026-04-27,C282
T0346,STORE_04,SKU-JUICE-029,6,8.61,2026-04-22,C194
T0347,STORE_03,SKU-APPLE-049,10,8.49,2026-04-07,C119
T0348,STORE_03,SKU-JUICE-034,3,6.86,2026-04-10,C195
T0349,STORE_02,SKU-APPLE-004,1,1.42,2026-04-20,C274
T0350,STORE_03,SKU-APPLE-047,4,3.65,2026-05-04,C131
T0351,STORE_05,SKU-APPLE-029,5,8.77,2026-05-04,C244
T0352,STORE_02,SKU-APPLE-010,2,9.89,2026-04-24,C289
T0353,STORE_02,SKU-BREAD-007,9,9.06,2026-04-24,C142
T0354,STORE_05,SKU-APPLE-010,10,7.1,2026-04-11,C293
T0355,STORE_02,SKU-JUICE-021,6,2.2,2026-04-07,C197
T0356,STORE_01,SKU-JUICE-039,3,2.36,2026-04-18,C152
T0357,STORE_03,SKU-JUICE-021,1,7.05,2026-05-03,C130
T0358,STORE_02,SKU-JUICE-037,3,5.1,2026-04-07,C266
T0359,STORE_04,SKU-MILK-011,7,5.55,2026-04-19,C204
T0360,STORE_03,SKU-MILK-026,9,6.97,2026-04-18,C290
T0361,STORE_05,SKU-APPLE-003,4,8.3,2026-04-10,C262
T0362,STORE_01,SKU-MILK-019,2,3.77,2026-04-15,C178
T0363,STORE_05,SKU-APPLE-038,4,5.67,2026-04-10,C224
T0364,STORE_03,SKU-JUICE-040,5,2.49,2026-04-21,C297
T0365,STORE_02,SKU-MILK-035,3,1.11,2026-04-09,C294
T0366,STORE_05,SKU-MILK-034,7,2.2,2026-04-09,C184
T0367,STORE_01,SKU-JUICE-036,3,3.69,2026-04-09,C157
T0368,STORE_03,SKU-BREAD-002,1,6.04,2026-04-22,C197
T0369,STORE_03,SKU-JUICE-009,5,9.17,2026-04-11,C178
T0370,STORE_01,SKU-JUICE-032,5,3.34,2026-04-10,C201
T0371,STORE_02,SKU-MILK-040,10,5.1,2026-04-26,C213
T0372,STORE_01,SKU-MILK-030,3,9.47,2026-04-20,C108
T0373,STORE_05,SKU-APPLE-039,2,3.36,2026-04-16,C139
T0374,STORE_03,SKU-MILK-041,6,3.99,2026-04-11,C269
T0375,STORE_05,SKU-MILK-039,4,7.01,2026-04-30,C198
T0376,STORE_05,SKU-APPLE-011,9,8.28,2026-04-11,C190
T0377,STORE_01,SKU-JUICE-031,8,1.97,2026-04-11,C218
T0378,STORE_02,SKU-JUICE-036,5,7.5,2026-04-17,C111
